YEAR,LIFE_EXP
1950,68.845
1951,68.991
1952,69.275
1953,69.537
1954,69.778
1955,69.998
1956,70.196
1957,70.37
1958,70.521
1959,70.644
1960,70.738
1961,70.801
1962,70.834
1963,70.841
1964,70.834
1965,70.824
1966,70.825
1967,70.848
1968,70.906
1969,71.007
1970,71.16
1971,71.37
1972,71.632
1973,71.934
1974,72.269
1975,72.626
1976,72.996
1977,73.367
1978,73.728
1979,74.072
1980,74.39
1981,74.678
1982,74.941
1983,75.185
1984,75.415
1985,75.639
1986,75.868
1987,76.111
1988,76.37
1989,76.646
1990,76.933
1991,77.223
1992,77.505
1993,77.772
1994,78.024
1995,78.267
1996,78.508
1997,78.759
1998,79.024
1999,79.302
2000,79.592
2001,79.886
2002,80.174
2003,80.451
2004,80.711
2005,80.952
2006,81.174
2007,81.381
2008,81.577
2009,81.764
2010,81.944
2011,82.119
2012,82.291
2013,82.46
2014,82.627
2015,82.794
2016,82.959
2017,83.122
2018,83.281
2019,83.436
